Zip (ZCTA),State,County,City,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error,Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Margin of Error,Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11419,New York,Queens,New York,"$70,882 ","$2,970 ","$23,360 ",$947 ,"49,618","44,324.6","13,338","$481,500 "
11420,New York,Queens,New York,"$67,932 ","$4,255 ","$26,134 ","$1,068 ","48,489","23,340.9","14,180","$478,000 "
11421,New York,Queens,New York,"$72,066 ","$4,088 ","$26,377 ","$1,284 ","41,002","31,780.5","12,746","$477,600 "
11422,New York,Queens,New York,"$89,235 ","$5,647 ","$31,779 ","$1,643 ","32,082","16,006.8","10,356","$438,900 "
11423,New York,Queens,New York,"$70,266 ","$3,677 ","$29,814 ","$1,636 ","31,400","22,185.5","10,499","$475,000 "
11426,New York,Queens,New York,"$88,803 ","$7,754 ","$34,168 ","$2,676 ","20,801","15,418.1","6,584","$542,700 "
11427,New York,Queens,New York,"$74,581 ","$3,799 ","$32,689 ","$2,299 ","24,037","15,203.6","7,983","$488,000 "
11428,New York,Queens,New York,"$73,699 ","$5,263 ","$26,603 ","$1,157 ","18,929","22,762.2","5,973","$472,200 "
11429,New York,Queens,New York,"$83,240 ","$5,390 ","$28,107 ","$1,307 ","27,403","21,179.7","7,752","$434,500 "
11432,New York,Queens,New York,"$55,906 ","$2,423 ","$25,157 ","$1,250 ","62,053","28,870.2","20,030","$583,900 "
11433,New York,Queens,New York,"$51,521 ","$3,009 ","$21,593 ","$1,442 ","36,489","23,550.9","11,574","$411,500 "
11434,New York,Queens,New York,"$62,207 ","$3,623 ","$26,629 ",$872 ,"65,791","20,129.5","22,575","$402,400 "
11435,New York,Queens,New York,"$64,086 ","$2,633 ","$26,826 ","$1,357 ","59,296","38,792.2","19,742","$393,300 "
11436,New York,Queens,New York,"$75,242 ","$4,654 ","$28,190 ","$2,016 ","20,077","25,310.9","6,008","$396,600 "
11691,New York,Queens,New York,"$46,147 ","$3,089 ","$21,531 ","$1,375 ","67,094","24,372.6","22,126","$462,500 "
11692,New York,Queens,New York,"$44,024 ","$4,646 ","$22,072 ","$1,671 ","20,991","20,937.3","7,411","$381,900 "
11693,New York,Queens,New York,"$59,431 ","$7,804 ","$30,940 ","$3,195 ","12,919","13,101.5","5,453","$310,800 "
11694,New York,Queens,New York,"$80,976 ","$6,821 ","$45,846 ","$3,055 ","21,354","15,980.5","9,492","$651,300 "
11697,New York,Queens,New York,"$103,580 ","$12,063 ","$51,177 ","$5,624 ","3,540","1,363.9","2,553","$570,900 "
