Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
13035,"$79,527 ","8,851",118.4,"3,786","$221,600 "
13036,"$55,241 ","8,798",180.3,"4,039","$120,100 "
13037,"$74,587 ","9,442",230.6,"3,751","$145,700 "
13039,"$90,940 ","16,837",745.4,"7,017","$171,800 "
13040,"$51,731 ","2,434",25.3,"1,361","$97,000 "
13041,"$89,516 ","11,453",627.2,"4,449","$148,500 "
13042,"$63,556 ","2,604",77.7,"1,315","$125,700 "
13044,"$64,398 ","2,621",94.4,"1,183","$117,100 "
13045,"$52,726 ","29,223",274.2,"12,219","$119,100 "
13052,"$55,536 ","1,522",31.4,"1,059","$99,100 "
13053,"$67,857 ","4,980",150,"1,998","$172,800 "
13054,"$68,646 ","1,665",75.3,685,"$152,000 "
13057,"$60,971 ","13,772",494.6,"6,633","$120,600 "
13060,"$59,844 ","2,809",175.7,"1,220","$138,200 "
13061,"$67,625 ","1,073",41.3,766,"$182,700 "
13063,"$95,417 ","1,988",57.2,784,"$176,300 "
13066,"$89,840 ","12,550",838.3,"5,400","$234,000 "
13068,"$62,635 ","5,160",100.9,"2,321","$159,900 "
13069,"$50,293 ","24,511",228.6,"10,460","$85,900 "
13071,"$63,958 ",895,36.1,402,"$107,400 "
13072,"$55,547 ",738,15.7,465,"$85,800 "
13073,"$68,209 ","6,475",117.9,"2,840","$143,400 "
13074,"$57,310 ","4,078",96,"1,703","$87,900 "
13076,"$62,614 ","2,314",151.2,909,"$110,200 "
13077,"$61,186 ","7,135",101.1,"3,097","$131,400 "
13078,"$88,150 ","10,607",272.4,"4,112","$199,700 "
13080,"$51,173 ","3,329",118.7,"1,665","$116,000 "
13081,"$83,043 ","1,105",38.2,680,"$172,800 "
13082,"$67,019 ","4,380",185.8,"1,939","$133,500 "
13083,"$67,500 ","2,069",35.7,876,"$114,200 "
13084,"$65,083 ","3,734",86.8,"1,601","$152,600 "
13087,"$62,500 ",66,321.6,47,"$251,500 "
13088,"$58,183 ","21,986","2,764.30","10,667","$131,700 "
13090,"$74,396 ","29,758","1,975.80","12,588","$153,600 "
13092,"$70,813 ","2,479",51.1,"1,098","$121,800 "
13101,"$62,652 ","2,301",58.8,"1,013","$107,500 "
13104,"$104,321 ","15,515",328.4,"6,484","$241,900 "
13108,"$74,840 ","6,050",207.4,"2,603","$176,700 "
13110,"$81,500 ","2,038",82.9,"1,177","$178,400 "
13111,"$40,924 ","1,616",60.7,698,"$97,800 "
13112,"$70,150 ","1,843",91,771,"$143,300 "
13113,"$85,938 ",304,585.3,103,"$105,000 "
13114,"$60,996 ","6,120",97.3,"2,813","$109,000 "
13115,"$42,875 ",185,399,110,"$96,700 "
13116,"$56,048 ","3,504","2,652.80","1,531","$134,200 "
13117,"$55,000 ",264,324.1,115,"$86,300 "
13118,"$55,762 ","6,039",58.9,"2,897","$117,800 "
13120,"$56,000 ","2,250",131.6,869,"$87,500 "
13122,"$75,250 ","1,289",68.9,458,"$217,600 "
13123,"$58,431 ",511,216,158,"$67,100 "
13124,"$45,625 ",94,20.1,68,"$82,500 "
13126,"$51,460 ","36,335",360.6,"15,703","$107,900 "
13131,"$56,723 ","3,736",70.6,"1,512","$103,800 "
13132,"$63,245 ","3,397",143.2,"1,650","$115,500 "
13134,"$76,563 ",208,"2,519.80",69,"$82,700 "
13135,"$55,503 ","6,689",209.4,"2,917","$117,000 "
13136,"$45,972 ",407,21.8,279,"$67,800 "
13140,"$54,744 ","4,509",86.3,"2,028","$86,800 "
13141,"$62,768 ",577,44,303,"$113,200 "
13142,"$47,198 ","6,338",89.9,"3,385","$109,800 "
13143,"$54,050 ","2,706",62.6,"1,255","$89,600 "
13144,"$42,028 ","1,986",51.7,902,"$79,600 "
13145,"$53,750 ","1,566",93.9,"1,089","$107,700 "
13146,"$52,135 ","2,354",43.3,945,"$83,700 "
13147,"$53,333 ","1,147",32,479,"$110,400 "
13148,"$55,621 ","10,605",176.6,"5,118","$109,000 "
13152,"$92,691 ","8,208",126.9,"4,649","$288,400 "
13153,"$49,750 ",382,427.2,198,"$170,800 "
13155,"$68,636 ",586,28.7,347,"$73,200 "
13156,"$58,056 ","1,896",63.3,"1,297","$95,300 "
13157,"$46,429 ",552,995,686,"$96,300 "
13158,"$56,786 ","1,539",21.6,738,"$112,300 "
13159,"$71,548 ","5,348",68.5,"2,303","$170,200 "
13160,"$64,511 ","2,055",96.5,968,"$136,100 "
13163,"$45,417 ",473,891,156,"$128,200 "
13164,"$92,446 ","2,587",240.9,916,"$174,700 "
13165,"$54,973 ","10,559",155.3,"4,835","$88,300 "
13166,"$62,774 ","5,572",136.5,"2,391","$134,400 "
13167,"$53,894 ","3,215",94.2,"1,448","$134,200 "
13202,"$17,176 ","6,581","6,596.90","2,841","$94,000 "
13203,"$35,359 ","16,528","9,723.80","8,744","$104,700 "
13204,"$33,508 ","18,728","4,264.00","10,120","$76,800 "
13205,"$31,582 ","17,479","5,066.90","8,810","$77,800 "
13206,"$41,403 ","16,360","4,139.90","8,606","$93,800 "
13207,"$50,336 ","13,135","4,250.70","6,281","$86,100 "
13208,"$38,482 ","22,738","5,447.40","10,367","$86,500 "
13209,"$54,974 ","12,940","1,018.30","6,132","$118,600 "
13210,"$29,100 ","28,234","6,183.40","9,735","$141,000 "
13211,"$47,282 ","6,145","1,304.70","2,698","$85,700 "
13212,"$58,971 ","21,349","2,015.50","9,239","$118,700 "
13214,"$75,809 ","8,685","2,375.90","3,216","$162,400 "
13215,"$87,489 ","14,892",438.8,"6,074","$197,800 "
13219,"$62,119 ","14,781","2,979.90","6,718","$130,900 "
13224,"$56,535 ","8,296","2,784.60","4,178","$155,300 "
13301,"$88,125 ",108,44.2,134,"$269,400 "
13302,"$48,625 ","1,722",39,998,"$77,700 "
13303,"$69,886 ","1,113",31.4,512,"$159,700 "
13304,"$77,813 ","1,593",91.6,811,"$167,800 "
13305,"$48,828 ",249,259.5,121,"$120,100 "
13308,"$61,667 ","3,106",80.4,"1,457","$109,400 "
13309,"$57,846 ","5,823",40.1,"2,769","$117,100 "
13310,"$46,328 ",624,82.3,428,"$107,900 "
13312,"$50,625 ",391,6.1,790,"$239,100 "
13313,"$37,188 ",484,215,236,"$68,500 "
13314,"$50,469 ",373,96.3,203,"$72,600 "
13315,"$60,735 ","1,543",31.4,766,"$125,600 "
13316,"$47,193 ","6,179",38.1,"3,110","$113,100 "
13317,"$51,272 ","3,954",85.7,"1,682","$98,900 "
13318,"$69,091 ","1,305",51.4,539,"$135,900 "
13319,"$44,619 ",811,914.8,328,"$84,200 "
13320,"$59,297 ","2,102",27.3,"1,152","$165,600 "
13321,"$51,083 ",917,"1,136.60",500,"$82,300 "
13322,"$58,125 ",902,74.3,579,"$123,200 "
13323,"$66,172 ","11,097",291.7,"4,452","$171,800 "
13324,"$52,917 ","2,382",20,"1,565","$97,600 "
13325,"$53,250 ","1,067",13.8,690,"$102,900 "
13326,"$60,966 ","5,584",58.5,"3,555","$267,200 "
13327,"$55,573 ","2,056",15.4,"1,244","$121,200 "
13328,"$76,591 ","1,554",98,614,"$134,900 "
13329,"$46,190 ","4,330",81.8,"1,946","$84,100 "
13331,"$59,167 ",120,1.5,935,"$427,300 "
13332,"$51,458 ","2,939",59.8,"1,275","$92,900 "
13334,"$53,224 ","1,121",38.5,766,"$91,600 "
13335,"$58,000 ","1,519",39.8,726,"$133,700 "
13337,"$81,591 ",595,32.2,312,"$331,100 "
13338,"$44,904 ","1,121",4.6,"1,562","$106,400 "
13339,"$49,071 ","6,396",59.1,"2,848","$84,800 "
13340,"$58,065 ","8,075",139.5,"3,546","$106,000 "
13341,"$115,735 ",107,581,50,"$105,000 "
13342,"$59,107 ",202,25.4,108,"$134,700 "
13343,"$59,167 ","1,772",31.5,"1,286","$108,100 "
13346,"$67,045 ","6,045",159.9,"2,168","$200,000 "
13348,"$61,133 ","1,419",38.4,829,"$170,900 "
13350,"$48,471 ","9,827",323,"4,939","$90,400 "
13354,"$74,496 ","3,944",75.7,"1,563","$140,200 "
13355,"$65,956 ",897,30.8,412,"$103,800 "
13357,"$49,832 ","10,855",344.1,"4,931","$81,000 "
13360,"$47,500 ",163,2.6,"1,034","$330,000 "
13361,"$54,219 ",813,28.7,376,"$100,000 "
13363,"$72,738 ","2,279",107.6,"1,036","$129,600 "
13364,"$31,563 ",106,35.9,112,"$62,000 "
13365,"$51,520 ","8,469",63.2,"4,141","$94,300 "
13367,"$53,689 ","8,617",19,"4,162","$141,800 "
13368,"$46,765 ","1,063",23.3,582,"$98,900 "
13402,"$60,870 ","1,774",69.9,954,"$87,300 "
13403,"$81,344 ","7,258",271.8,"1,852","$176,500 "
13404,"$42,750 ",158,53.6,106,"$79,300 "
13406,"$54,375 ",710,65.1,369,"$103,800 "
13407,"$51,336 ","5,155",95,"2,303","$89,300 "
13408,"$53,932 ","3,775",100.3,"1,158","$127,100 "
13409,"$52,216 ","2,519",73.1,"1,033","$88,300 "
13410,"$70,938 ",281,"2,554.70",106,"$84,000 "
13411,"$49,556 ","3,189",46.6,"1,692","$87,500 "
13413,"$72,576 ","16,382",823.8,"7,322","$164,500 "
13416,"$51,585 ","2,346",45.1,"1,093","$118,700 "
13417,"$35,720 ","3,317","2,538.20","1,876","$120,500 "
13418,"$63,438 ",324,62.1,107,"$63,300 "
13420,"$54,787 ",933,4.3,"2,927","$247,500 "
13421,"$53,179 ","13,291",316.4,"6,049","$113,300 "
13424,"$58,367 ","2,468",221.4,"1,039","$125,000 "
13425,"$48,875 ","2,113",82.8,964,"$97,300 "
13428,"$40,662 ","1,754",111.2,763,"$100,700 "
13431,"$59,792 ","1,773",48.1,774,"$139,500 "
13433,"$48,935 ","1,844",42.3,816,"$87,300 "
13435,"$67,778 ",287,"1,377.90",132,"$93,600 "
13436,"$55,625 ",123,3.2,594,"$212,500 "
13437,"$44,688 ",423,4.4,711,"$107,600 "
13438,"$55,761 ","3,253",37.9,"2,131","$127,500 "
13439,"$49,832 ","3,518",40.9,"2,401","$143,600 "
13440,"$53,067 ","41,243",365.3,"18,627","$107,400 "
13450,"$51,328 ",42,17.6,49,"$136,800 "
13452,"$41,042 ","4,553",59.7,"2,152","$85,100 "
13454,"$40,400 ",571,13.3,372,"$79,500 "
13456,"$69,528 ","3,962",141.1,"1,694","$160,700 "
13459,"$55,346 ","2,405",47.2,"1,226","$146,800 "
13460,"$47,143 ","4,279",59.8,"2,077","$106,100 "
13461,"$63,204 ","3,031","1,307.30","1,271","$153,200 "
13464,"$41,532 ","1,378",35.9,695,"$81,800 "
13468,"$60,625 ",471,48.4,229,"$164,200 "
13469,"$81,201 ",926,230.5,353,"$144,800 "
13470,"$38,750 ",649,9.7,687,"$82,900 "
13471,"$53,158 ","3,313",35.3,"1,504","$104,600 "
13473,"$60,313 ",642,13.9,435,"$113,300 "
13476,"$67,083 ","3,736",174.9,"1,513","$156,700 "
13477,"$45,000 ","1,437",71,705,"$135,800 "
13478,"$62,944 ","2,760",77.1,"1,254","$121,000 "
13480,"$56,033 ","3,398",63.2,"1,577","$114,800 "
13483,"$80,000 ",324,46.8,110,"$175,000 "
13484,"$98,703 ",297,116.5,100,"$114,700 "
13485,"$50,050 ","1,009",22.8,581,"$94,300 "
13486,"$51,250 ",864,29.3,394,"$104,300 "
13488,"$51,250 ",151,36.1,105,"$87,800 "
13489,"$51,944 ",679,15.9,382,"$103,500 "
13490,"$64,592 ","1,757",148.5,709,"$185,500 "
13491,"$57,557 ","3,617",50,"1,593","$114,100 "
13492,"$62,632 ","11,268",747.2,"5,308","$142,100 "
13493,"$51,055 ","1,792",24,882,"$91,100 "
13494,"$61,458 ",332,19,597,"$154,300 "
13495,"$55,643 ","2,197","2,517.40",939,"$100,400 "
13501,"$36,079 ","37,646","4,303.00","17,280","$99,600 "
13502,"$41,333 ","32,542",605.3,"15,012","$97,500 "
13601,"$46,683 ","37,624",267.4,"17,946","$143,900 "
13603,"$45,272 ","9,589","1,758.40","3,440","$156,600 "
13605,"$52,212 ","4,816",59.7,"2,277","$144,700 "
13606,"$67,787 ","2,716",77.3,"1,146","$149,600 "
13607,"$49,048 ","1,247",70,"1,653","$131,800 "
13608,"$47,065 ","1,544",39,673,"$112,500 "
13612,"$65,636 ","2,322",131.1,"1,139","$166,000 "
13613,"$50,652 ","2,574",30.9,"1,204","$96,400 "
13615,"$61,389 ","1,162",303.5,511,"$161,100 "
13616,"$53,021 ","2,229",402.3,885,"$88,900 "
13617,"$60,016 ","11,034",86.4,"3,837","$124,700 "
13618,"$52,941 ","1,563",31,"2,381","$139,300 "
13619,"$53,566 ","10,640",97.8,"4,751","$135,600 "
13620,"$39,235 ","2,245",48.5,840,"$108,900 "
13621,"$54,500 ",469,17.2,310,"$92,100 "
13622,"$66,736 ","2,344",40.3,"1,379","$151,500 "
13624,"$74,505 ","5,715",90.1,"3,841","$161,200 "
13625,"$56,500 ","1,863",33.7,"1,104","$140,800 "
13626,"$50,583 ","2,245",22.6,"1,301","$127,100 "
13628,"$47,500 ",209,"1,134.30",101,"$90,000 "
13630,"$45,500 ","1,451",30.2,611,"$93,700 "
13633,"$72,614 ",332,16.8,202,"$76,500 "
13634,"$63,605 ","4,049",91.7,"2,342","$164,600 "
13635,"$52,546 ","1,177",21.3,567,"$74,500 "
13636,"$55,000 ",271,84.5,108,"$128,900 "
13637,"$52,666 ","4,057",115.2,"1,863","$180,700 "
13638,"$39,278 ",362,295.6,166,"$77,400 "
13639,"$48,889 ",286,14.8,150,"$58,200 "
13640,"$46,581 ",362,29.3,"1,007","$361,500 "
13642,"$38,438 ","9,871",54.5,"4,419","$93,900 "
13646,"$41,528 ","2,030",18.9,"2,857","$87,100 "
13648,"$50,227 ","2,298",12.5,"1,725","$88,300 "
13650,"$62,120 ","1,687",40.8,"1,543","$174,500 "
13651,"$135,833 ",153,62.5,188,"$350,000 "
13652,"$45,417 ","1,696",25.5,900,"$76,800 "
13654,"$47,273 ","2,722",40.9,"1,132","$88,500 "
13655,"$41,613 ","3,431",169.7,"1,191","$111,300 "
13656,"$56,953 ","3,108",36.5,"1,086","$136,800 "
13658,"$59,583 ","2,288",29.1,994,"$120,900 "
13659,"$55,625 ",479,8.4,387,"$97,100 "
13660,"$54,189 ","1,558",29,688,"$108,800 "
13661,"$64,111 ","1,368",29.7,"1,026","$118,800 "
13662,"$50,154 ","16,069",180.9,"7,668","$84,300 "
13664,"$66,875 ",292,296.8,236,"$95,000 "
13665,"$47,439 ",703,16.2,453,"$114,500 "
13666,"$44,375 ",228,5.8,200,"$31,400 "
13667,"$41,682 ","3,118",62.9,"1,435","$87,400 "
13668,"$53,832 ","3,291",89.5,"1,612","$81,200 "
13669,"$48,177 ","15,782",154.3,"7,449","$79,100 "
13670,"$41,389 ",434,6,370,"$82,800 "
13672,"$57,650 ",763,6.1,698,"$69,600 "
13673,"$48,575 ","2,260",64.8,993,"$153,300 "
13676,"$50,292 ","17,016",106.7,"6,031","$119,600 "
13679,"$52,063 ","1,989",31.8,"1,572","$147,600 "
13680,"$42,750 ","1,460",41.5,564,"$99,800 "
13681,"$58,125 ",885,26.2,354,"$97,600 "
13682,"$70,625 ",885,28.2,406,"$155,400 "
13684,"$47,279 ","1,107",7,737,"$82,500 "
13685,"$62,583 ","2,520",124.9,"1,720","$267,900 "
13687,"$49,609 ",503,3.7,727,"$101,000 "
13690,"$41,429 ",835,16.2,579,"$72,500 "
13691,"$59,313 ","2,878",39.9,"1,810","$141,900 "
13692,"$41,964 ",64,234.5,320,"$337,000 "
13693,"$45,438 ",402,20.8,"1,192","$160,000 "
13694,"$60,625 ","1,441",64.5,754,"$137,500 "
13695,"$105,139 ",184,10.8,205,"$216,700 "
13697,"$42,623 ","1,896",28.9,928,"$84,500 "
13730,"$54,274 ","2,683",54.7,"1,571","$118,000 "
13731,"$42,917 ",880,9.8,"1,308","$205,000 "
13732,"$83,078 ","7,796",236.6,"3,169","$139,200 "
13733,"$53,428 ","4,861",53.6,"2,679","$98,400 "
13734,"$46,700 ","2,028",56,976,"$96,100 "
13736,"$63,309 ","2,153",35.5,922,"$98,900 "
13739,"$62,841 ",796,19.8,666,"$153,100 "
13740,"$70,313 ",547,13.8,531,"$230,600 "
13743,"$60,433 ","3,576",60.8,"1,742","$98,200 "
13744,"$60,909 ","1,143",98.6,535,"$119,700 "
13746,"$61,350 ","2,000",72.1,"1,063","$120,300 "
13748,"$57,560 ","3,779",285,"1,602","$126,800 "
13750,"$39,414 ",919,34.1,595,"$131,300 "
13752,"$54,583 ",771,15.9,674,"$169,900 "
13753,"$54,211 ","5,777",61.6,"2,210","$167,700 "
13754,"$40,417 ","3,233",40.6,"2,272","$119,200 "
13755,"$48,611 ","1,148",20,930,"$105,100 "
13756,"$52,411 ",414,9,541,"$157,900 "
13757,"$53,904 ","1,318",35.4,687,"$138,300 "
13760,"$56,959 ","43,350",881.4,"21,440","$125,800 "
13774,"$34,200 ",192,67,159,"$79,600 "
13775,"$54,500 ","1,769",33.3,"1,011","$160,700 "
13776,"$65,714 ",514,90.4,290,"$121,800 "
13777,"$67,292 ",352,58.5,191,"$135,900 "
13778,"$58,555 ","5,557",57.4,"2,720","$129,800 "
13780,"$60,139 ","1,036",46.8,521,"$109,000 "
13782,"$54,896 ",665,18.1,527,"$167,500 "
13783,"$41,458 ","2,665",23.3,"2,228","$104,800 "
13784,"$43,750 ",106,226.6,46,"$77,800 "
13786,"$52,500 ",384,24.8,337,"$150,700 "
13787,"$46,013 ","3,502",55,"1,855","$101,100 "
13788,"$52,639 ",990,28,701,"$134,900 "
13790,"$45,114 ","17,875",617.2,"8,761","$92,500 "
13794,"$43,125 ",70,97.6,28,"$35,500 "
13795,"$56,008 ","3,424",168.2,"1,573","$98,600 "
13796,"$61,250 ","1,400",62.8,728,"$162,300 "
13797,"$52,462 ","2,194",65.9,902,"$86,300 "
13801,"$35,592 ","1,413",20.6,"1,055","$83,100 "
13802,"$110,625 ",562,55.9,210,"$95,500 "
13803,"$61,111 ","4,240",47.3,"1,758","$107,200 "
13804,"$56,181 ",353,23.2,230,"$120,800 "
13806,"$41,000 ",288,93.1,150,"$133,800 "
13807,"$58,182 ","1,278",53.7,722,"$156,800 "
13808,"$49,375 ","1,534",41.7,828,"$135,500 "
13809,"$52,344 ","1,546",51.4,837,"$77,700 "
13810,"$54,250 ","1,114",27.8,677,"$134,000 "
13811,"$68,550 ","4,313",68,"1,816","$110,300 "
13812,"$66,696 ","2,482",78.7,"1,013","$104,400 "
13813,"$51,719 ",609,21.8,413,"$117,900 "
13815,"$47,874 ","12,985",121.1,"6,476","$88,200 "
13820,"$48,875 ","21,997",205,"9,176","$147,900 "
13825,"$51,047 ","3,193",56.4,"1,507","$140,700 "
13827,"$56,359 ","11,315",123.7,"5,756","$111,600 "
13830,"$46,250 ","5,196",47,"2,891","$94,900 "
13832,"$48,750 ",663,23.9,344,"$88,000 "
13833,"$54,375 ","3,947",110.5,"1,800","$101,200 "
13835,"$51,053 ","1,276",30.2,639,"$91,300 "
13838,"$36,815 ","4,284",413.7,"2,362","$84,000 "
13839,"$45,817 ","1,072",27,691,"$116,300 "
13841,"$53,125 ",634,53.2,337,"$108,400 "
13842,"$54,375 ",543,43.4,346,"$202,300 "
13843,"$51,207 ","2,099",38.6,"1,122","$112,300 "
13844,"$53,125 ",758,31.6,326,"$89,600 "
13846,"$37,917 ",351,43.2,232,"$144,600 "
13849,"$49,554 ","4,334",65.5,"2,285","$96,500 "
13850,"$65,030 ","22,186",433.8,"9,593","$145,900 "
13856,"$50,764 ","6,009",32.5,"3,955","$115,200 "
13859,"$54,750 ",189,393.9,94,"$133,500 "
13861,"$75,700 ",343,77.8,156,"$159,800 "
13862,"$61,714 ","4,429",78.4,"1,940","$106,000 "
13863,"$54,167 ",766,50.4,394,"$77,400 "
13864,"$40,347 ","1,011",37.9,498,"$136,600 "
13865,"$62,629 ","6,135",55.6,"2,909","$113,000 "
13901,"$44,159 ","19,195",826.1,"9,693","$122,100 "
13903,"$46,813 ","18,496",467,"8,653","$114,000 "
13904,"$49,189 ","9,948",429,"4,238","$95,600 "
13905,"$39,832 ","26,194",968.4,"13,278","$108,700 "
14001,"$60,615 ","9,549",144.9,"4,365","$138,700 "
14004,"$73,586 ","12,496",260.7,"4,252","$173,300 "
14005,"$70,673 ","1,973",59,721,"$128,700 "
14006,"$56,941 ","9,949",384.6,"5,215","$110,700 "
14008,"$57,400 ","1,315",53.8,595,"$132,100 "
14009,"$50,284 ","5,341",72.1,"2,659","$112,900 "
14011,"$66,178 ","9,470",141.8,"2,799","$122,900 "
14012,"$58,707 ","2,379",73.9,"1,064","$119,600 "
14013,"$57,746 ","1,708",42.2,773,"$93,100 "
14020,"$52,825 ","22,642",327.6,"10,576","$107,900 "
14024,"$63,158 ","1,567",24.8,807,"$108,900 "
14025,"$56,172 ","3,223",143.9,"1,511","$186,100 "
14028,"$75,667 ","1,703",125.8,899,"$128,500 "
14030,"$63,036 ","1,775",89.3,765,"$132,000 "
14031,"$82,727 ","10,301",550.4,"4,287","$233,300 "
14032,"$121,111 ","8,955",385.9,"3,212","$331,800 "
14033,"$85,278 ","1,754",101.5,934,"$259,900 "
14034,"$61,292 ","2,800",109,818,"$101,400 "
14036,"$68,448 ","4,729",87.3,"2,310","$144,300 "
14037,"$56,389 ","1,012",58.5,453,"$162,300 "
14039,"$57,188 ",92,49.2,46,"$84,200 "
14040,"$71,774 ","2,179",74.6,856,"$151,200 "
14041,"$55,313 ",166,73,114,"$67,700 "
14042,"$49,632 ","3,966",86.9,"1,989","$89,100 "
14043,"$59,520 ","24,420","2,808.70","11,541","$126,400 "
14047,"$67,447 ","6,298",480.6,"2,792","$132,000 "
14048,"$37,588 ","14,177",608.3,"7,192","$70,700 "
14051,"$117,803 ","20,198","1,235.50","8,169","$280,200 "
14052,"$79,174 ","16,614",268.1,"7,403","$218,900 "
14054,"$62,067 ","1,471",59.2,631,"$120,300 "
14055,"$68,667 ","1,562",48.3,692,"$180,800 "
14057,"$70,298 ","8,284",171.9,"3,506","$169,700 "
14058,"$65,268 ","1,951",49,868,"$117,800 "
14059,"$73,456 ","10,144",376.5,"4,306","$245,000 "
14060,"$44,375 ",289,16.3,260,"$74,000 "
14061,"$54,375 ",389,406.1,163,"$103,600 "
14062,"$52,644 ","3,248",44.9,"1,579","$88,900 "
14063,"$55,713 ","14,676",291.1,"6,055","$123,800 "
14065,"$56,823 ","1,763",47.3,829,"$100,700 "
14066,"$56,850 ","1,286",31.8,607,"$88,400 "
14067,"$54,000 ","5,328",107.6,"2,210","$126,100 "
14068,"$78,705 ","6,632","1,904.80","2,845","$236,800 "
14069,"$66,071 ",721,84.7,358,"$176,700 "
14070,"$44,023 ","6,847",133.9,"2,462","$88,000 "
14072,"$80,569 ","20,897",739.1,"8,821","$196,300 "
14075,"$70,300 ","42,471","1,075.60","18,921","$168,400 "
14080,"$66,000 ","4,158",78.6,"1,894","$163,600 "
14081,"$45,900 ","3,130",89,"1,642","$98,800 "
14082,"$61,429 ",604,60.8,236,"$156,300 "
14085,"$82,071 ","7,306","1,050.40","2,729","$183,500 "
14086,"$82,221 ","32,671",964.4,"13,643","$200,300 "
14091,"$56,429 ","1,111",52.3,484,"$123,400 "
14092,"$65,072 ","11,083",562.4,"5,108","$173,200 "
14094,"$56,138 ","49,170",403.3,"22,891","$121,800 "
14098,"$55,417 ","2,905",63.1,"1,646","$95,000 "
14101,"$54,276 ","1,972",46.5,"1,074","$117,400 "
14102,"$89,792 ","1,163",305.4,438,"$230,300 "
14103,"$47,848 ","10,541",131.8,"4,929","$82,300 "
14105,"$59,625 ","4,570",97,"1,909","$107,600 "
14108,"$58,903 ","6,082",224.5,"2,360","$100,700 "
14111,"$57,313 ","3,337",92.5,"1,422","$127,800 "
14113,"$60,250 ",523,30.7,312,"$124,600 "
14120,"$62,998 ","44,437","1,350.80","20,394","$139,700 "
14125,"$60,573 ","3,733",106.3,"1,520","$99,500 "
14126,"$61,125 ",531,926.5,414,"$125,400 "
14127,"$89,780 ","30,297",736.6,"12,670","$234,200 "
14129,"$50,846 ","1,470",47.6,621,"$98,300 "
14130,"$45,500 ",165,151.5,76,"$79,400 "
14131,"$73,250 ","5,039",119.3,"2,211","$151,900 "
14132,"$68,812 ","5,792",206.3,"2,452","$154,400 "
14134,"$49,091 ",115,135.5,48,"$112,500 "
14136,"$56,294 ","4,551",196.5,"2,352","$91,200 "
14138,"$50,875 ","2,006",42.8,883,"$76,000 "
14139,"$86,149 ","2,438",102.2,979,"$193,300 "
14141,"$55,779 ","7,497",106.3,"3,591","$143,400 "
14143,"$58,500 ",940,65,543,"$113,600 "
14145,"$65,750 ","1,785",63.4,747,"$158,400 "
14150,"$53,982 ","40,825","2,732.20","20,123","$124,100 "
14167,"$69,276 ","1,621",43,789,"$144,000 "
14169,"$31,765 ",94,305,48,"$9,999 "
14170,"$74,264 ","2,544",206.4,"1,110","$175,800 "
14171,"$55,972 ","1,956",38.4,992,"$113,100 "
14172,"$60,438 ","2,978",120.9,"1,601","$138,800 "
14174,"$71,000 ","5,475",224.1,"2,758","$169,000 "
14201,"$26,771 ","11,680","11,407.30","6,511","$184,700 "
14202,"$46,439 ","3,474","4,149.20","2,422","$378,600 "
14204,"$23,886 ","8,649","4,814.60","5,241","$85,500 "
14206,"$37,946 ","19,869","4,100.60","10,479","$73,600 "
14207,"$27,633 ","23,808","6,100.60","10,921","$63,900 "
14208,"$27,876 ","10,805","7,961.30","5,589","$63,400 "
14209,"$37,869 ","7,410","8,103.50","4,529","$176,900 "
14210,"$38,811 ","14,723","4,592.80","7,069","$73,900 "
14211,"$26,496 ","21,900","5,408.10","12,112","$44,400 "
14212,"$24,060 ","10,695","5,614.80","6,061","$61,800 "
14213,"$33,303 ","24,167","10,695.80","11,311","$95,900 "
14214,"$47,642 ","19,775","6,906.70","9,208","$171,100 "
14215,"$34,928 ","39,962","8,107.10","18,477","$59,800 "
14216,"$57,416 ","22,280","8,037.50","11,603","$165,700 "
14217,"$56,015 ","22,974","7,150.10","11,565","$126,600 "
14218,"$38,634 ","18,951","2,321.00","8,806","$96,000 "
14219,"$51,998 ","12,092","1,719.60","5,737","$121,200 "
14220,"$54,369 ","23,980","6,294.80","10,882","$101,600 "
14221,"$81,106 ","54,081","2,350.80","24,227","$215,900 "
14222,"$54,841 ","14,037","10,997.20","7,859","$290,500 "
14223,"$63,629 ","22,499","6,555.00","10,362","$131,000 "
14224,"$67,691 ","40,590","2,002.10","18,872","$151,000 "
14225,"$49,516 ","33,328","2,814.30","16,232","$101,500 "
14226,"$69,746 ","29,700","4,292.10","13,246","$155,500 "
14227,"$54,525 ","21,846","2,525.60","10,870","$128,700 "
14228,"$54,132 ","22,103","1,397.50","10,261","$176,000 "
14301,"$27,317 ","12,594","7,531.90","7,344","$56,800 "
14303,"$27,148 ","5,805","2,363.20","3,597","$59,600 "
14304,"$53,797 ","29,375","1,324.00","13,881","$94,100 "
14305,"$35,712 ","16,683","2,032.10","8,422","$77,300 "
14411,"$50,084 ","14,176",125.1,"5,646","$95,400 "
14414,"$57,604 ","7,101",180.7,"3,162","$144,500 "
14416,"$59,514 ","3,528",94.8,"1,428","$118,800 "
14418,"$58,355 ","1,333",35.7,838,"$141,200 "
14420,"$57,320 ","20,925",345.8,"7,404","$143,700 "
14422,"$68,478 ","2,333",68.6,948,"$118,600 "
14423,"$55,750 ","4,631",91.7,"1,992","$126,000 "
14424,"$62,717 ","27,717",218,"13,669","$188,700 "
14425,"$68,330 ","11,848",634.3,"5,026","$156,600 "
14427,"$55,833 ","2,044",67.7,"1,007","$87,200 "
